timeElapsed,wordsSearched
0,10,
0,20,
0,30,
0,40,
0,50,
0,60,
0,70,
0,80,
0,90,
0,100,
0,110,
0,120,
0,130,
0,140,
0,150,
0,160,
0,170,
0,180,
0,190,
0,200,
0,210,
0,220,
0,230,
0,240,
0,250,
0,260,
0,270,
0,280,
0,290,
0,300,
0,310,
0,320,
0,330,
0,340,
0,350,
0,360,
0,370,
0,380,
0,390,
0,400,
0,410,
0,420,
0,430,
0,440,
0,450,
0,460,
0,470,
0,480,
0,490,
0,500,
0,510,
0,520,
0,530,
0,540,
0,550,
0,560,
0,570,
0,580,
0,590,
0,600,
0,610,
0,620,
0,630,
0,640,
0,650,
0,660,
0,670,
0,680,
0,690,
0,700,
0,710,
0,720,
0,730,
0,740,
0,750,
0,760,
0,770,
0,780,
0,790,
0,800,
0,810,
0,820,
0,830,
0,840,
0,850,
0,860,
0,870,
0,880,
0,890,
0,900,
0,910,
0,920,
0,930,
0,940,
0,950,
0,960,
0,970,
1,980,
0,990,
0,1000,
0,1010,
0,1020,
0,1030,
0,1040,
16,1050,
0,1060,
0,1070,
0,1080,
0,1090,
0,1100,
0,1110,
0,1120,
0,1130,
16,1140,
0,1150,
0,1160,
0,1170,
0,1180,
0,1190,
0,1200,
0,1210,
0,1220,
0,1230,
0,1240,
0,1250,
0,1260,
0,1270,
0,1280,
0,1290,
0,1300,
0,1310,
0,1320,
0,1330,
0,1340,
16,1350,
0,1360,
0,1370,
0,1380,
0,1390,
0,1400,
0,1410,
0,1420,
16,1430,
0,1440,
0,1450,
0,1460,
0,1470,
0,1480,
16,1490,
0,1500,
0,1510,
0,1520,
0,1530,
0,1540,
0,1550,
0,1560,
0,1570,
0,1580,
0,1590,
0,1600,
0,1610,
0,1620,
0,1630,
0,1640,
0,1650,
0,1660,
0,1670,
0,1680,
0,1690,
0,1700,
0,1710,
0,1720,
0,1730,
0,1740,
0,1750,
0,1760,
0,1770,
0,1780,
0,1790,
0,1800,
0,1810,
0,1820,
0,1830,
0,1840,
0,1850,
0,1860,
0,1870,
0,1880,
0,1890,
0,1900,
0,1910,
0,1920,
0,1930,
0,1940,
0,1950,
0,1960,
0,1970,
0,1980,
0,1990,
1,2000,
0,2010,
0,2020,
0,2030,
0,2040,
0,2050,
0,2060,
0,2070,
0,2080,
0,2090,
16,2100,
0,2110,
0,2120,
0,2130,
0,2140,
0,2150,
0,2160,
0,2170,
0,2180,
0,2190,
0,2200,
0,2210,
0,2220,
0,2230,
0,2240,
0,2250,
0,2260,
0,2270,
0,2280,
0,2290,
1,2300,
1,2310,
0,2320,
0,2330,
0,2340,
0,2350,
0,2360,
1,2370,
0,2380,
0,2390,
0,2400,
1,2410,
0,2420,
0,2430,
1,2440,
0,2450,
1,2460,
0,2470,
0,2480,
0,2490,
0,2500,
0,2510,
0,2520,
0,2530,
0,2540,
0,2550,
0,2560,
0,2570,
0,2580,
1,2590,
1,2600,
1,2610,
0,2620,
0,2630,
0,2640,
0,2650,
0,2660,
1,2670,
16,2680,
0,2690,
0,2700,
0,2710,
0,2720,
0,2730,
0,2740,
1,2750,
0,2760,
0,2770,
0,2780,
0,2790,
1,2800,
0,2810,
1,2820,
1,2830,
0,2840,
16,2850,
0,2860,
0,2870,
0,2880,
0,2890,
0,2900,
0,2910,
16,2920,
1,2930,
0,2940,
1,2950,
0,2960,
0,2970,
0,2980,
0,2990,
0,3000,
0,3010,
1,3020,
1,3030,
1,3040,
0,3050,
1,3060,
1,3070,
1,3080,
2,3090,
15,3100,
0,3110,
0,3120,
